name,from,href
Aa Jao Na,"[from ""Veere Di Wedding"" soundtrack]",/lyrics/bollywood/aajaona.html
Aaj Phir,"[from ""Hate Story 2"" soundtrack]",/lyrics/arijitsingh/aajphir.html
Aaj Se Teri,"[from ""Padman"" soundtrack]",/lyrics/arijitsingh/aajseteri.html
Aasan Nahin Yahan,"[from ""Aashiqui 2"" soundtrack]",/lyrics/arijitsingh/aasannahinyahan.html
Ab Raat,"[from ""Dobaara"" soundtrack]",/lyrics/arijitsingh/abraat.html
Ae Dil Hai Mushkil,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/aedilhaimushkil.html
Ae Watan,"[from ""Raazi"" soundtrack]",/lyrics/bollywood/aewatan.html
Alizeh,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/alizeh.html
Alvida,"[from ""Rangoon"" soundtrack]",/lyrics/arijitsingh/alvida.html
Baatein Ye Kabhi Na,"[from ""Khamoshiyan"" soundtrack]",/lyrics/arijitsingh/baateinyekabhina.html
Bachche Ki Jaan,"[from ""102 Not Out"" soundtrack]",/lyrics/arijitsingh/bachchekijaan.html
Bairaagi,"[from ""Bareilly Ki Barfi"" soundtrack]",/lyrics/arijitsingh/bairaagi.html
Bandeya,"[from ""Dil Juunglee"" soundtrack]",/lyrics/arijitsingh/bandeya.html
Bas Tu Hai,"[from ""3 Storeys"" soundtrack]",/lyrics/arijitsingh/bastuhai.html
Beech Beech Mein,"[from ""Jab Harry Met Sejal"" soundtrack]",/lyrics/arijitsingh/beechbeechmein.html
Bhalobasa Jaak,"[from ""Cockpit"" soundtrack]",/lyrics/arijitsingh/bhalobasajaak.html
Binte Dil,"[from ""Padmaavat"" soundtrack]",/lyrics/arijitsingh/bintedil.html
Bolna,"[from ""Kapoor & Sons"" soundtrack]",/lyrics/arijitsingh/bolna.html
Chalte Chalte,"[from ""Tutak Tutak Tutiya"" soundtrack]",/lyrics/arijitsingh/chaltechalte.html
Channa Mereya,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/channamereya.html
Daayre,"[from ""Dilwale"" soundtrack]",/lyrics/arijitsingh/daayre.html
Darkhaast,"[from ""Shivaay"" soundtrack]",/lyrics/arijitsingh/darkhaast.html
Dekha Hazaro Dafa,"[from ""Rustom"" soundtrack]",/lyrics/arijitsingh/dekhahazarodafa.html
Dher Tak Chala,"[from ""Uyyala Jampala"" soundtrack]",/lyrics/arijitsingh/dhertakchala.html
Dhokha Dhadi,"[from ""R... Rajkumar"" soundtrack]",/lyrics/arijitsingh/dhokhadhadi.html
Dhoondlo,"[from ""Tu Hai Mera Sunday"" soundtrack]",/lyrics/arijitsingh/dhoondlo.html
Dhuaan,"[from ""Fugly"" soundtrack]",/lyrics/arijitsingh/dhuaan.html
Dil Cheez Tujhe Dedi,"[from ""Airlift"" soundtrack]",/lyrics/arijitsingh/dilcheeztujhededi.html
Dil Ke Paas,"[from ""Wajah Tum Ho"" soundtrack]",/lyrics/arijitsingh/dilkepaas.html
Egiye De,"[from ""Shudhu Tomari Jonyo"" soundtrack]",/lyrics/arijitsingh/egiyede.html
Eh Kancha,"[from ""Chhaya O Chhobi"" soundtrack]",/lyrics/arijitsingh/ehkancha.html
Enna Sona,"[from ""OK Jaanu"" soundtrack]",/lyrics/arijitsingh/ennasona.html
Galti Se Mistake,"[from ""Jagga Jasoos"" soundtrack]",/lyrics/arijitsingh/galtisemistake.html
Gerua,"[from ""Dilwale"" soundtrack]",/lyrics/arijitsingh/gerua.html
Girl I Need You,"[from ""Baaghi"" soundtrack]",/lyrics/arijitsingh/girlineedyou.html
Gulon Mein Rang Bhare,"[from ""Haider"" soundtrack]",/lyrics/arijitsingh/gulonmeinrangbhare.html
Haareya,"[from ""Meri Pyaari Bindu"" soundtrack]",/lyrics/arijitsingh/haareya.html
Hamari Adhuri Kahani,"[from ""Hamari Adhuri Kahani"" soundtrack]",/lyrics/arijitsingh/hamariadhurikahani.html
Har Kisi Ko,"[from ""Boss"" soundtrack]",/lyrics/arijitsingh/harkisiko.html
Hawayein,"[from ""Jab Harry met Sejal"" soundtrack]",/lyrics/arijitsingh/hawayein.html
Humdard,"[from ""Ek Villain"" soundtrack]",/lyrics/arijitsingh/humdard.html
Ijazat,"[from ""One Night Stand"" soundtrack]",/lyrics/arijitsingh/ijazat.html
Ik Vaari Aa,"[from ""Raabta"" soundtrack]",/lyrics/arijitsingh/ikvaariaa.html
Ilahi,"[from ""Yeh Jawaani Hai Deewani"" soundtrack]",/lyrics/arijitsingh/ilahi.html
Ishq Mubarak,"[from ""Tum Bin 2"" soundtrack]",/lyrics/arijitsingh/ishqmubarak.html
Itni Si Baat Hai,"[from ""Azhar"" soundtrack]",/lyrics/arijitsingh/itnisibaathai.html
Jaana Ve,"[from ""Aksar 2"" soundtrack]",/lyrics/arijitsingh/jaanave.html
Janam Janam,"[from ""Dilwale"" soundtrack]",/lyrics/arijitsingh/janamjanam.html
Jhumritalaiyya,"[from ""Jagga Jasoos"" soundtrack]",/lyrics/arijitsingh/jhumritalaiyya.html
Jiya,"[from ""Gunday"" soundtrack]",/lyrics/arijitsingh/jiya.html
Kabhi Jo Baadal Barse,"[from ""Jackpot"" soundtrack]",/lyrics/arijitsingh/kabhijobaadalbarse.html
Kabhi Yaadon Mein,,/lyrics/arijitsingh/kabhiyaadonmein.html
Khamoshiyan,"[from ""Khamoshiyan"" soundtrack]",/lyrics/arijitsingh/khamoshiyan.html
Khol De Par,,/lyrics/bollywood/kholdepar.html
Khuda Na Khasta,"[from ""One by Two"" soundtrack]",/lyrics/arijitsingh/khudanakhasta.html
Ki Kore Toke Bolbo,"[from ""Rangbaaz"" soundtrack]",/lyrics/arijitsingh/kikoretokebolbo.html
Kudi Nashe Si Befikre,,/lyrics/arijitsingh/kudinashesibefikre.html
Laagi Na Choote,"[from ""A Gentleman"" soundtrack]",/lyrics/arijitsingh/laaginachoote.html
Laal Ishq,"[from ""Goliyon Ki Raasleela Ram-Leela"" soundtrack]",/lyrics/arijitsingh/laalishq.html
Lambiyaan Si Judaiyaan,"[from ""Raabta"" soundtrack]",/lyrics/arijitsingh/lambiyaansijudaiyaan.html
Lo Maan Liya,"[from ""Raaz Reboot"" soundtrack]",/lyrics/arijitsingh/lomaanliya.html
Love Me Thoda Aur,"[from ""Yaariyan"" soundtrack]",/lyrics/arijitsingh/lovemethodaaur.html
Main Dhoondne Ko Zamaane Mein,"[from ""Heartless"" soundtrack]",/lyrics/arijitsingh/maindhoondnekozamaanemein.html
Main Hoon Saath Tere,"[from ""Shaadi Mein Zaroor Aana"" soundtrack]",/lyrics/arijitsingh/mainhoonsaathtere.html
Main Hu Tu Ho,"[from ""Days Of Tafree"" soundtrack]",/lyrics/arijitsingh/mainhutuho.html
Main Tera Boyfriend,"[from ""Raabta"" soundtrack]",/lyrics/arijitsingh/mainteraboyfriend.html
Main Teri Yaadon Mein,"[from ""Sanam Teri Kasam"" soundtrack]",/lyrics/arijitsingh/mainteriyaadonmein.html
Maine Socha Ke Chura Loon,"[from ""Phir Se"" soundtrack]",/lyrics/arijitsingh/mainesochakechuraloon.html
Manwa Laage,"[from ""Happy New Year"" soundtrack]",/lyrics/arijitsingh/manwalaage.html
Manzar Lounge,,/lyrics/arijitsingh/manzarlounge.html
Mast Magan,"[from ""2 States"" soundtrack]",/lyrics/arijitsingh/mastmagan.html
Maula Re,"[from ""Chaamp"" soundtrack]",/lyrics/arijitsingh/maulare.html
Meet,"[from ""Simran"" soundtrack]",/lyrics/arijitsingh/meet.html
Mehram,"[from ""Kahaani 2"" soundtrack]",/lyrics/arijitsingh/mehram.html
Mera Ishq,"[from ""Saansein"" soundtrack]",/lyrics/arijitsingh/meraishq.html
Meri Tanhaiyon Mein,"[from ""Jaane Kyun De Yaaron"" soundtrack]",/lyrics/arijitsingh/meritanhaiyonmein.html
Milne Hai Mujhse Aayi,"[from ""Aashiqui 2"" soundtrack]",/lyrics/arijitsingh/milnehaimujhseaayi.html
Murshida,"[from ""Begum Jaan"" soundtrack]",/lyrics/arijitsingh/murshida.html
Muskurane,"[from ""CityLights"" soundtrack]",/lyrics/arijitsingh/muskurane.html
Naina,"[from ""Dangal"" soundtrack]",/lyrics/arijitsingh/naina.html
Nashe Si Chadh Gayi,"[from ""Befikre"" soundtrack]",/lyrics/arijitsingh/nashesichadhgayi.html
O Saathi,"[from ""Shab"" soundtrack]",/lyrics/arijitsingh/osaathi.html
Pal,"[from ""Monsoon Shootout"" soundtrack]",/lyrics/arijitsingh/pal.html
Pal Bhar (Chaahunga Reprise),"[from ""Half Girlfriend"" soundtrack]",/lyrics/arijitsingh/palbharchaahungareprise.html
Palat - Tera Hero Idhar Hai,"[from ""Main Tera Hero"" soundtrack]",/lyrics/arijitsingh/palatteraheroidharhai.html
Phir Bhi Tumko Chahunga,"[from ""Half Girlfriend"" soundtrack]",/lyrics/arijitsingh/phirbhitumkochahunga.html
Phir Le Aya Dil Reprise,"[from ""Barfi!"" soundtrack]",/lyrics/arijitsingh/phirleayadilreprise.html
Phir Wahi,"[from ""Jagga Jasoos"" soundtrack]",/lyrics/arijitsingh/phirwahi.html
Purza,"[from ""Akira"" soundtrack]",/lyrics/arijitsingh/purza.html
Ra Ra Rowdy - Gaana Veera Soora,"[from ""Rowdy Fellow"" soundtrack]",/lyrics/arijitsingh/rararowdygaanaveerasoora.html
Raabta,"[from ""Agent Vinod"" soundtrack]",/lyrics/arijitsingh/raabta.html
Raabta (Title Song),"[from ""Raabta"" soundtrack]",/lyrics/arijitsingh/raabtatitlesong.html
Raat Bhar,"[from ""Heropanti"" soundtrack]",/lyrics/arijitsingh/raatbhar.html
Raaz Aankhein Teri,"[from ""Raaz Reboot"" soundtrack]",/lyrics/arijitsingh/raazaankheinteri.html
Raazi,"[from ""Raazi"" soundtrack]",/lyrics/bollywood/raazi.html
Rangdaari,"[from ""Lucknow Central"" soundtrack]",/lyrics/arijitsingh/rangdaari.html
Rishton Ke Saare Manzar,,/lyrics/arijitsingh/rishtonkesaaremanzar.html
Roke Na Ruke Naina,"[from ""Badrinath Ki Dulhania"" soundtrack]",/lyrics/arijitsingh/rokenarukenaina.html
Safar,"[from ""Jab Harry Met Sejal"" soundtrack]",/lyrics/arijitsingh/safar.html
Salamat,"[from ""Sarbjit"" soundtrack]",/lyrics/arijitsingh/salamat.html
Samjhawan,"[from ""Humpty Sharma Ki Dulhania"" soundtrack]",/lyrics/arijitsingh/samjhawan.html
Sanam Re (Title Song),"[from ""Sanam Re"" soundtrack]",/lyrics/arijitsingh/sanamretitlesong.html
Sapna,"[from ""Parmanu: The Story Of Pokhran"" soundtrack]",/lyrics/bollywood/sapna.html
Sawan Aaya Hai,"[from ""Creature 3D"" soundtrack]",/lyrics/arijitsingh/sawanaayahai.html
Shanivaar Raati,"[from ""Main Tera Hero"" soundtrack]",/lyrics/arijitsingh/shanivaarraati.html
Sooraj Dooba Hain,"[from ""Roy"" soundtrack]",/lyrics/arijitsingh/soorajdoobahain.html
Subah Subah,"[from ""Sonu Ke Titu Ki Sweety"" soundtrack]",/lyrics/arijitsingh/subahsubah.html
Sun Le Sada,,/lyrics/arijitsingh/sunlesada.html
Sun Le Zara,"[from ""Singham Returns"" soundtrack]",/lyrics/arijitsingh/sunlezara.html
Suno Na Sangemarmar,"[from ""Youngistaan"" soundtrack]",/lyrics/arijitsingh/sunonasangemarmar.html
Taake Jhanke,"[from ""Queen"" soundtrack]",/lyrics/arijitsingh/taakejhanke.html
Taarefon Se,"[from ""Dear Zindagi"" soundtrack]",/lyrics/arijitsingh/taarefonse.html
Tera Chehra,"[from ""Sanam Teri Kasam"" soundtrack]",/lyrics/arijitsingh/terachehra.html
Tera Hoke Rahoon,"[from ""Behen Hogi Teri"" soundtrack]",/lyrics/arijitsingh/terahokerahoon.html
Tera Yaar Hoon Main,"[from ""Sonu Ke Titu Ki Sweety"" soundtrack]",/lyrics/arijitsingh/terayaarhoonmain.html
Tere Bina,,/lyrics/arijitsingh/terebina.html
Tere Hoke Rahengay,"[from ""Raja Natwarlal"" soundtrack]",/lyrics/arijitsingh/terehokerahengay.html
The Breakup Song,"[from ""Ae Dil Hai Mushkil"" soundtrack]",/lyrics/arijitsingh/thebreakupsong.html
Thoda Aur,"[from ""Ranchi Diaries"" soundtrack]",/lyrics/arijitsingh/thodaaur.html
Tu Har Lamha,"[from ""Khamoshiyan"" soundtrack]",/lyrics/arijitsingh/tuharlamha.html
Tu Hi Ashiqui,,/lyrics/arijitsingh/tuhiashiqui.html
Tu Hi Hai,"[from ""Dear Zindagi"" soundtrack]",/lyrics/arijitsingh/tuhihai.html
Tukur Tukur,"[from ""Dilwale"" soundtrack]",/lyrics/arijitsingh/tukurtukur.html
Tum Hi Ho,"[from ""Aashiqui 2"" soundtrack]",/lyrics/arijitsingh/tumhiho.html
Ullu Ka Pattha,"[from ""Jagga Jasoos"" soundtrack]",/lyrics/arijitsingh/ullukapattha.html
Wafa Ne Bewafai,,/lyrics/arijitsingh/wafanebewafai.html
Woh Subah Hami Se Aayegi,"[from ""Begum Jaan"" soundtrack]",/lyrics/arijitsingh/wohsubahhamiseaayegi.html
Yaad Hai Na,"[from ""Raaz Reboot"" soundtrack]",/lyrics/arijitsingh/yaadhaina.html
Yeh Fitoor Mera,"[from ""Fitoor"" soundtrack]",/lyrics/arijitsingh/yehfitoormera.html
Yeh Ishq Hai,"[from ""Rangoon"" soundtrack]",/lyrics/arijitsingh/yehishqhai.html
Zaalima,"[from ""Raees"" soundtrack]",/lyrics/arijitsingh/zaalima.html
Zara Si Dosti,"[from ""Happy Bhag Jayegi"" soundtrack]",/lyrics/arijitsingh/zarasidosti.html
